gamma,net_arch,log_prob_loss,target_log_probs,target_back_probs,reward_type,adv_coef,horizon,n_epochs,policy_name,n_traj,temp,n_trials,n_states,lr,val_coef,hard,use_returns,use_z,kl_coef,use_scheduler,scores_mean,scores_std,correls_mean,correls_std
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.2947099349463332,0.35536365918473917,0.1741911210574952,0.3620511175859125
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.16044183322458755,0.10116440099209358,0.23327565870358305,0.5034918347638307
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.07678052615781483,0.05267405529352504,-0.09065941751354416,0.44031747220406814
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.10071485666954298,0.04758692892421176,-0.3133626143241905,0.18307852511119815
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.17226053127422328,4.463071316695988e-06,0.5653526956291846,0.2022992864259118
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.32729531547217106,0.3101019810443974,0.4012855509411414,0.18800593500456964
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.13059714692931548,0.055119580060473745,0.11463043962021142,0.3448242013540956
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,True,True,1.0,False,0.17224122894585014,1.308124400321998e-05,0.2271467590220435,0.26166767455910317
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,True,True,True,1.0,False,0.19740336234266853,0.20914381471490312,-0.06789618881070927,0.2995015688312384
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,True,True,True,1.0,False,0.11434306706879042,0.07112065099251237,0.08229257406772146,0.401221958785928
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,True,True,True,1.0,False,0.12144959851825368,0.06292697553444622,-0.014238951293437052,0.19448462468524394
